,count,mean,std,min,25%,50%,75%,max
Project 43,144.0,51558.57788467655,51817.60419214324,36.12077335693653,12667.81283890209,38718.01371472514,71109.60697058644,315946.82112914376
Project 44,144.0,52356.17822942766,46029.118759574565,1120.9706920947158,18308.466685404233,38370.29606748876,80495.65715472013,298639.50282204675
Project 45,144.0,53166.965141706336,48343.51803404031,327.6983751702267,16886.74756138131,38681.61694871253,76146.9089662534,232088.31014372956
Project 46,144.0,45682.45456431767,45998.188899574634,0.09145881568396227,12766.08880100134,31968.389614998116,65969.59317974781,221129.19169589927
Project 47,144.0,53962.73243744851,50571.65747271057,148.3896784984243,12460.119843823182,44685.5241264893,76539.04859911195,276092.34515856125
Project 48,144.0,53213.96014066924,51797.11829626909,399.5936204723887,19493.822016503233,36872.1755877256,70831.6767892411,362594.72123938566
Project 49,144.0,59931.504085240435,66296.83974585898,488.37361827530975,16434.28104623703,38559.227575871584,80346.3500795624,370628.6316527458
Project 50,144.0,45920.749150572534,45632.60114777823,275.6142953984127,14648.314306052675,34068.60225551365,59218.198909703584,300438.55249432335
Project 51,144.0,45312.075030458065,41864.12080726042,656.3462808338651,12809.302566237813,34123.80258632912,69706.38208453586,249360.50524539323
Project 52,144.0,46267.67226458649,48152.15206391977,125.49706689415969,11353.000901144685,31857.412246344196,63441.74030797591,217051.24892653985
Project 53,144.0,52698.14479377718,54968.78169121089,96.80997591711542,14249.002732051562,30840.21501249386,72623.21176039329,276147.63467255456
Project 54,144.0,56041.51530893717,60533.79236279075,413.03997515169794,18130.7517676266,34543.37728256721,75709.82145612134,337754.47918275464
Project 55,144.0,54564.43422470652,54045.4460838061,129.75651584166317,18728.2408682507,37095.171618919114,76962.37751662757,390340.68124683877
Project 56,144.0,49598.255413790255,52238.53846675916,248.61895050774115,14424.883886347829,35435.96725632352,67582.88556052977,419349.3152407022
Project 57,144.0,47245.45236738912,45050.868742277584,181.01522078427428,14567.534521110167,31599.120236601295,70216.78650105793,224346.42355845423
Project 58,144.0,52223.87571559836,48758.06282978622,74.59081443481688,19601.605354110372,36325.614737018,69614.24306339296,258281.88338600623
Project 59,144.0,47478.93591150031,46117.86946241834,887.2907740858572,12407.100812945548,35364.944833407906,63324.831969557315,259077.00360570554
Project 60,144.0,53291.71730330615,44241.576586936746,213.29949539209034,17214.675104705275,45999.10460302889,74425.19841516016,211677.46642115328
Project 61,144.0,48960.80795574436,45962.37244980689,67.11717766904464,13187.056848617609,34533.50426665833,65892.85666062783,211131.25947047106
Project 62,144.0,51208.22212632696,49608.15863287503,108.52275017522244,16289.67466103508,36911.77171854288,66337.99746364818,241267.58559872574
Project 63,144.0,47258.90630303334,50002.556484197296,96.65189006756349,11478.829712798122,33746.59940176565,66342.17432953842,279924.67143942567
Project 64,144.0,45380.837888537804,38900.64719171723,18.23547521364421,16266.056073431082,38616.07476814832,62671.75137399973,205201.30655583274
Project 65,144.0,50461.02699882259,47473.49783983461,42.76685789493984,19161.58909428047,37276.73005099413,64723.95083451513,268292.8734370656
Project 66,144.0,50448.67494637999,42279.29170224174,41.24298256156299,17537.5654604996,38780.81910447899,71548.48646598007,217140.68313989983
Project 67,144.0,55085.096649372514,53673.85430397692,325.4263097501639,20340.025147133965,43196.5135071739,71384.54635008081,368921.1733796983
Project 68,144.0,45629.7833363875,42755.80777078047,251.39471207113866,17442.646072511932,37037.439934043054,60637.46927123557,330687.93974829005
Project 69,144.0,51254.46313586921,44477.47115373723,150.36425887192087,17830.9772027622,40174.03365668094,76058.3463503175,206352.73141481722
Project 70,144.0,44149.01140732624,44403.222273084204,146.06085020910967,15095.322520850326,35440.60697860383,58195.96793777928,313780.1600411038
Project 71,144.0,42164.7231421205,42811.523893916376,331.956414109197,11447.920386279004,27652.70578904678,60920.853043799325,206665.67689827253
Project 72,144.0,55373.508050456054,57203.56174086808,216.0636365139568,15475.014108064224,36038.24806405863,78212.73922571645,297519.1648991486
Project 73,144.0,48625.16195181923,51120.18871519795,107.43579750184492,12453.296723345175,33259.85496817745,65723.30680821197,376289.1911252036
Project 74,144.0,46002.46023634971,44562.03140273163,829.0871847653192,17346.70120406913,33741.2436106065,55420.10176177619,264934.3794779885
Project 75,144.0,48314.6020610164,52389.50029121224,275.22031944605834,11046.139229147724,32070.46457060919,65228.159386970496,353331.5121864582
Project 76,144.0,53637.71713882827,49087.327249022994,375.1356540379301,16170.643164003355,36324.890423333156,82278.01810293626,250722.58469978737
Project 77,144.0,53691.76508096599,56777.19860856819,184.54867957469267,14133.154111255164,33798.53681129649,76548.71578487732,401614.5511669418
Project 78,144.0,52452.95873670067,45443.36015713225,302.43905256716755,20653.00236357827,38743.15835714928,70223.61844207827,249204.98564978325
Project 79,144.0,48782.6907630154,49100.4824170042,517.7970962182095,13250.913360244056,34295.47874294355,67183.38412269132,287016.54216888524
Project 80,144.0,49822.173593370644,49709.72587555383,2.478311527967892,16887.947409527747,36215.62880778672,63731.46960463584,283738.7266837975
Project 81,144.0,48719.38424233361,48775.903708909034,51.00173195731333,14341.87221088995,34856.936672962096,61218.78788007908,236793.16896305932
Project 82,144.0,50170.23550684431,48875.62944771533,562.069940043925,12293.014167488609,32722.40040219866,71977.8912454249,211724.24070476048
Project 83,144.0,51571.36938246266,56178.656356075,946.8265080556089,14841.798589249156,33582.818670290886,65168.06609115231,396689.49513863266
Project 84,144.0,45757.62786042856,41120.04393902942,1687.9274330329226,18707.256943662753,33326.451002380185,63541.29965820007,289434.7187885074
Project 85,144.0,52967.71614533549,55506.02384048433,527.2199393222488,13676.874626813009,36499.84059813626,74363.46466725481,324567.895073576
Project 86,144.0,50030.204683954675,49633.80152874158,154.44932072838807,13906.468902117169,35708.28845046713,69176.95721523842,319936.2616376871
Project 87,144.0,56612.47132583322,53801.414154100414,101.09058148484607,14159.27197144155,43672.916482308676,78643.46671123029,290542.9488011456
Project 88,144.0,51660.519263597904,52086.2172717253,53.06205084116412,13534.776667745997,36091.55153914857,76264.22473077761,262246.6047691014
Project 89,144.0,47299.20039366408,50179.21282067477,13.625757733474838,14788.432743764963,33441.0844075066,58144.447916794954,355906.33463803516
Project 90,144.0,50961.82526080025,46086.9245468726,124.37297966512804,17746.225762034872,39904.56734291861,67115.41753851407,291029.7346920436
Project 91,144.0,50777.25185323992,49798.74533121172,543.2842936246456,12438.513296285113,34240.67980512868,76615.20509271772,295251.83987102483
Project 92,144.0,49959.01543696073,51501.53309731889,386.05167617157196,14019.167904289036,29540.62934664345,71596.82970977118,273532.03254769056
Project 93,144.0,50456.42502535221,45115.569472750874,218.65358460602118,19497.145272049147,35776.21181866266,69744.16676113656,212317.8400529374
Project 94,144.0,53638.42010463294,49923.55304514056,1019.1764739322059,18822.674672401194,38164.920128914586,74318.0462692894,236227.67749022364
Project 95,144.0,49987.426026487265,49373.00607706472,62.45832941975377,13681.871464111966,37735.512369772936,69394.19116686856,227422.06916389382
Project 96,144.0,55201.03790693659,54065.32734021078,0.06984212023565099,17491.196111509344,35466.73907101868,75669.55397467961,279990.25511434267
Project 97,144.0,50474.191877986785,45944.678520669186,1027.4870911080716,18194.79499063881,35604.31854324318,70198.9243058323,242212.1502030852
Project 98,144.0,50077.579635684975,51946.88187281905,247.98845368642952,10949.43514209004,32353.848431505012,72226.46844081105,255969.25195445155
Project 99,144.0,46790.95774709105,41999.30874126995,1228.7823009656854,15988.17846177298,33642.6238319127,69366.03675455053,200927.21686600032
Project 100,144.0,46788.23511986087,45222.72489460012,362.48050512227303,13777.217538303377,31588.30435595527,63369.22526235804,195287.80881760715
Project 101,144.0,48457.33206953435,43950.497821723584,897.6627020154665,13038.081193554659,38299.22649809415,68800.694881036,202080.26257915958
Project 102,144.0,51534.72135827893,48375.049409140505,419.99295967315203,14773.303700986198,33352.431657523106,79074.46919945454,250801.36407969747
Project 103,144.0,50229.98983849402,61912.866168448236,223.84510689076424,10666.582591024388,27627.17977027002,74923.62178292716,361589.4155958806
Project 104,144.0,48600.85833310349,49158.63501827746,433.7608382154061,12705.42524198546,29524.639959402917,75510.52375272823,280244.45789145096
Project 105,144.0,55579.780551913434,53171.20587128845,6.584009885401996,17600.461977474326,36004.83279100112,75941.09739204214,305463.63789213204
Project 106,144.0,56570.912166167436,55634.00320885848,1164.5876337782258,17524.519201692667,41933.247817425254,76827.94178955039,333970.40700619936
Project 107,144.0,49131.1567828838,46629.43198055377,234.45410808966858,16367.312719771571,32680.1422260877,73127.92717633377,257796.49599665013
Project 108,144.0,47735.945355023316,53001.05624464079,712.9255255431142,11708.39901063301,31612.13764411034,56595.49525243544,315022.22609944537
Project 109,144.0,50570.90287626299,45303.971745103794,108.88300840409374,15242.35516844194,40903.77108110041,69511.71469854185,231335.33073968728
Project 110,144.0,46286.93266865061,53489.36839609402,814.9112935624963,11341.392388621633,30763.17127926948,57494.66895537437,384142.40179059055
Project 111,144.0,47621.89427322413,48618.52944406053,61.20877967617831,13146.026404964987,34874.0651376514,70517.50072649101,349860.4611751267
Project 112,144.0,48944.29136104751,51630.33359983066,345.08737169755426,11103.059991798105,29165.753520766702,74302.31958598568,331435.9133002651
Project 113,144.0,50118.3536641795,54210.143032723674,173.41574611308377,12998.060769590922,35684.30173435439,63013.46756574972,265088.92601288157
Project 114,144.0,53056.274587829976,48424.72845643735,211.1695549287314,16743.383971873027,37994.18166982595,78581.24167278888,217440.36053663457
Project 115,144.0,60501.395717330364,53508.086004192955,353.45498542756803,18627.51788295785,44061.31813191895,82540.44739268604,258572.6953059948
Project 116,144.0,47869.248941574726,51819.14066162149,207.1657652570625,13514.353939272565,34412.51825116758,64769.58904526711,347039.8058526197
Project 117,144.0,57403.51588625516,55833.390249568285,306.26541714377476,17249.283143116663,41638.653688676124,86070.89545447906,263481.3835883188
Project 118,144.0,58198.981154634115,59330.2272583225,37.93619100620704,14857.665867475118,35356.46630420307,82607.88500901064,285849.33713873645
Project 119,144.0,61334.334730037386,59815.213175257195,1154.2762420189829,19402.120796713225,38078.332218740994,81849.76619081105,285520.19609563233
Project 120,144.0,51749.3763670599,48688.72025490354,1096.5460740448245,19350.214585051253,38331.48447139469,67124.11831300028,366661.25778849947
Project 121,144.0,42448.93615359488,39905.36464151715,259.55951812092474,12198.41833747339,29180.806853197246,65226.4950344564,252828.658180561
Project 122,144.0,52647.58696818938,49653.37954804425,146.2007323652307,14812.12777295446,44441.156610141814,70370.01758013912,211588.54261948168
Project 123,144.0,50656.01922591518,52140.20523832851,313.0831853608779,15830.693609151487,31497.471515285368,73400.41537494684,358303.58323795797
Project 124,144.0,53185.727400541226,46882.861864470644,466.8854226733276,17083.695607974627,40790.0598557934,74751.8837140615,222900.73322850914
Project 125,144.0,53610.40928474163,64401.82381100664,104.09532416899849,13802.245955120883,31893.161597047627,69099.01402274668,317767.6351995271
Project 126,144.0,47683.29392346255,57619.98599268537,76.73268086803898,11571.991016485157,26753.575632680062,64218.92951596301,335135.91183868924
Project 127,144.0,46218.98117764745,43984.24025028984,61.38873559698601,13663.513178236204,35044.55055267436,67326.17045640021,250891.44475988878
Project 128,144.0,50738.11386250359,48315.5634533038,24.7197165422522,12940.903858223772,38123.33001572262,76904.4061102005,277324.55795572593
Project 129,144.0,58420.31750697371,63078.6509638877,55.78694881091474,14597.116470759676,40141.76056654397,80724.55463543997,359435.7991633079
Project 130,144.0,49705.94035445241,57919.21010151655,76.2308631773477,11965.293913415735,32639.96293212987,62305.97844825089,406306.436988719
Project 131,144.0,57400.1090447039,52399.34648821574,104.13656693876416,18583.51118357652,43207.539181223154,79474.27870447616,333308.60482186585
Project 132,144.0,47486.75449772842,46735.74024731911,169.15571111414184,12717.532788288274,33045.37682744122,71686.80541616917,291072.8135660255
Project 133,144.0,52616.86845079873,54567.38943593747,119.26470650870807,13361.58475538118,36090.25893161648,75755.96828723115,315288.167979647
Project 134,144.0,44488.747855786234,44639.529911597754,824.0288020198043,13216.201347920118,29285.396216639685,59276.02353596196,226932.34600758945
Project 135,144.0,48143.80206707464,38776.541757586936,446.90319608352604,15239.60637831002,41244.414300925,70632.82762501876,183871.57266984257
Project 136,144.0,56499.38005867587,51688.1310519615,171.19735496479987,16776.185580235986,43621.95806991185,79237.95275376481,228298.110541936
Project 137,144.0,43984.316338303164,35680.72210861413,79.21877753490405,13015.331735641772,37760.74922428842,67687.50118767386,180908.9464255504
Project 138,144.0,51177.06967420684,43891.45519215587,395.6963304677934,15503.391825075207,43510.2149559753,75735.24967428204,253749.974354128
Project 139,144.0,49045.7506090845,44408.12495323844,1066.5949080063856,15926.190157510498,34928.25613935881,65073.71148006624,191427.35189260173
Project 140,144.0,45582.01571075961,42932.511527518385,52.454364279211646,14155.986640824467,33340.28678327962,64505.14964768341,259994.117755884
Project 141,144.0,43337.01353508613,43886.20068591468,64.18378834988738,11921.507826980165,32066.617401243882,61509.49426231946,232767.69004628964
Project 142,144.0,53958.48596918377,55651.382574208714,8.365523102229673,16760.572063292162,37230.83652379508,71263.75480178712,321327.7397125037
Project 143,144.0,50788.239253720465,52539.395660191476,224.20970500592034,11678.487347222792,31607.383899169858,67149.8982140964,257720.86796073546
Project 144,144.0,52551.06620389363,55841.0494273045,165.9983441864656,12905.025649225354,36522.62903494685,68564.2382480175,284874.4801768763
Project 145,144.0,49009.82264626628,47041.68899744961,63.90462635802375,14762.19892646574,36273.61417131414,71927.04416767022,240109.99078297336
Project 146,144.0,52807.79318590793,70464.3208517434,353.63293584336543,12213.628445462005,30438.279239463933,63445.75522867608,492896.5390204373
Project 147,144.0,51053.20035234383,50395.28228118289,116.12334006959203,14466.956333817197,35590.92342260306,71149.38242654543,255258.8515968723
Project 148,144.0,49172.92761031774,49916.97686766326,169.09213374137173,14973.130140914569,32271.57345447257,64491.29960587508,258722.98654650088
Project 149,144.0,44476.64744060829,54913.67991742365,311.9143271272879,11008.646160713517,27505.297275760706,50141.76058000652,282651.8610453482
Project 150,144.0,51584.25417807603,47638.97205170258,184.87696700601916,15363.988569736935,35701.390391077686,81479.31378090111,217402.0766607477
Project 151,144.0,54211.956947879255,55243.58899116616,695.0588713947598,14404.549349381334,37219.72560267011,73000.69537487839,342716.8122456287
Project 152,144.0,50744.21746775833,49600.388825668466,222.89466642238042,16052.525633892245,37670.134158227316,77387.12992615257,326601.6146571477
Project 153,144.0,48375.026810795614,44904.673268324776,84.62214074265597,17201.072076943183,35322.942869773986,66116.83079323274,298849.3174433823
Project 154,144.0,42141.420695366,45335.58496905051,400.13572248168106,12668.548277012682,31364.936365273526,59240.41146865913,371526.2183202923
Project 155,144.0,52542.35662515881,47665.63642636923,574.4315957401342,18010.83615009014,37307.03464247707,72706.67827265328,254325.70188462606
Project 156,144.0,55779.72768081872,60099.2136461502,361.66210986132546,12349.538732666875,37427.888556809696,73752.59599350356,308927.11341504677
Project 157,144.0,45186.03956913362,41704.939983149256,289.59905009317,11481.363193550334,32502.990258829755,64230.88763951949,196657.08566619287
Project 158,144.0,51659.569770689595,53079.17076774099,20.881811685905497,12865.988960744568,35540.53895867613,69237.68691678849,286401.97875864484
Project 159,144.0,46172.6450945704,42860.58238091173,423.8563596016385,12867.971152194303,31947.402639663705,65410.33335651022,191521.71441757193
Project 160,144.0,48599.35842089954,55061.17864437841,697.9522671238263,13183.163420310253,32771.06447076855,65712.16267972649,380248.29483628727
Project 161,144.0,49659.646251848506,51397.43317346073,376.39836402959037,11391.476868273368,33187.36516608092,70144.69559230185,296778.97210222296
Project 162,144.0,54047.62865845548,46317.70662523046,101.52610784303337,17885.31683635607,43982.33550022422,76124.36590221178,243205.52609370576
Project 163,144.0,48441.69020982219,46230.5155676155,469.1241557886158,11469.746370853887,32241.19811557658,69843.7059231666,205785.50607398004
Project 164,144.0,55446.57882584324,56225.73575174825,587.3884627282057,15405.299077144966,39209.84134793609,75216.05261152552,304459.39436346776
Project 165,144.0,50019.301122591445,47283.5551486483,1626.4779953295754,18030.03187263435,36958.03011699805,66959.11413830702,234460.68776276562
Project 166,144.0,48979.395197060374,47170.27699586855,586.1841270566094,15523.19919131016,33736.845717197124,69327.28625050464,243801.40292139762
Project 167,144.0,50071.807700060825,46310.14075303236,19.303188752291017,13816.04079239669,32831.598946052494,75704.535827499,198040.30072896203
Project 168,144.0,53966.387243449935,56771.30358181975,85.85365509119185,18781.133015181324,39252.50722963614,67487.43078636403,373238.6346270617
Project 169,144.0,48527.39622241933,49410.48524134037,335.0423158322346,14064.975920894189,31244.910406540643,70699.39956143411,295655.26480188523
Project 170,144.0,53092.782294084,55997.5922452509,203.4168167528323,17302.898060338677,35938.01346466162,62167.85463919805,316848.94387573405
Project 171,144.0,48805.26774620451,50255.26312507809,468.4010017432576,14427.426015122983,32139.108588245916,60049.286448635845,321570.6912985298
Project 172,144.0,52903.40750869741,51928.70300518541,148.06414301097493,16961.300106756396,32253.962520357676,75985.47476444232,310900.70584608807
Project 173,144.0,55376.63015679355,49482.23229842406,120.13126579172226,19161.996140055628,42642.279722722684,75866.86204834365,226843.22671499822
Project 174,144.0,53934.45109488872,52506.88727094029,375.3863658326522,17152.38857539509,34645.67135830947,76154.3603492307,219407.8333018487
Project 175,144.0,44983.048610075406,45840.46960856905,273.5410801869764,13903.432272790842,28571.90123728569,63069.6651014927,221683.38745383784
Project 176,144.0,49553.96386351274,52862.36490862785,438.37757020722165,10499.985613192064,32002.706868643596,68680.58854864314,285742.52731208905
Project 177,144.0,52604.30941324033,49018.64375341746,423.5432240811939,13355.829341015226,39377.23340775157,81073.71676914787,304485.3971238124
Project 178,144.0,54372.23833410101,61222.95392914495,229.43510708824402,13552.87844107585,35725.7280487009,70680.96966589124,405435.30323210265
Project 179,144.0,52941.42572369777,56429.90796532281,271.7895332519659,17054.54966718971,33022.48951870143,75801.79178753386,385709.1029879693
Project 180,144.0,45792.94507662203,43787.82561312286,303.1554695303291,16273.022831388098,33730.1845759561,62219.704445725576,258438.462603827
Project 181,144.0,47803.29528920111,51553.13591470578,5.435426509398375,8403.50646192029,29678.657733269658,67761.06860338974,224964.94596625294
Project 182,144.0,47706.6302489852,49500.264660729335,551.218792355505,12451.501275736722,32984.322190420266,67742.1876603591,292156.3798262479
Project 183,144.0,43779.82314164328,51156.024946567704,216.32817439108032,14547.37515824818,27081.328017290783,55896.844669740916,324628.4127800416
Project 184,144.0,54706.62869072515,61133.92106438422,15.917047031450663,14100.972751071353,34738.395724121314,74441.78748342494,446905.74423000833
Project 185,144.0,53099.45914138577,52999.36315806731,244.52198130465518,20403.652760407145,38023.210214580795,67019.02691572683,348278.6765670509
Project 186,144.0,53360.42000056376,56436.139868595645,1253.4449879447566,14540.0507991403,32535.034990016204,75693.4127246133,296947.6009590803
Project 187,144.0,48306.64757414882,50586.983383615974,367.70691842151547,14074.116385457231,30430.8495658694,70698.77452913416,281181.43998415675
Project 188,144.0,45426.69222551826,43098.943508081706,258.94701759065623,11261.313953853056,30542.25063663147,68423.35198202323,194295.28643580782
Project 189,144.0,51772.20342361488,53239.66123783975,224.92749672563207,12822.99932906308,32352.56468197979,73822.7202318293,278347.0927912763
Project 190,144.0,45173.0319418369,42301.21877067598,975.6528445718408,13662.070348358553,30973.284183516702,67445.04773035749,201837.90584747397
Project 191,144.0,53507.27935000522,50314.59023374659,1071.1392782072735,15986.831664491803,38572.5357733734,68086.92107732674,200055.63884165976
Project 192,144.0,48150.43881313116,44533.65922033216,642.6054520312643,14249.235892416003,34589.69661730641,72496.15217020203,229043.23579834815
Project 193,144.0,47045.65147625527,44919.83504299183,464.0696345831199,16263.066085732034,32725.868469571997,62636.7805874755,239948.51348681946
Project 194,144.0,52739.2094570098,49315.50016744164,170.3373943883949,15330.263275422665,35845.55508647881,73541.94839510559,257307.28134959398
Project 195,144.0,46636.10529018779,43130.61580079545,1045.852045864644,14163.000772310634,33911.92363310624,61646.350640339915,220379.94478406486
Project 196,144.0,51077.61847364667,53901.784948241184,299.66960118712234,16061.679665582564,37253.76198849031,63276.60758254057,329836.1104876677
Project 197,144.0,49132.0366410235,41913.861059797535,43.61585557342288,17144.070850144515,39736.507696950735,67027.29478566338,176360.61939563797
Project 198,144.0,42540.27507803687,42212.66114576762,62.300857183589876,12686.077275973325,28957.508979716018,61115.91705853853,267942.39090763306
Project 199,144.0,46991.49793539843,48164.860167811836,434.62868408906485,13056.450328783194,28831.639694666548,63876.71634907339,245314.65213219053
Project 200,144.0,47855.04374094489,44937.64325266438,195.35967963127825,12563.488001230948,32165.633773718764,73568.78669089846,248457.23163149186
Project 201,144.0,50478.06084974495,53096.15291012734,49.37943806727301,12150.073154710732,33899.11790222497,69680.41164248386,339625.26324844954
Project 202,144.0,52121.79199981717,48531.86627185061,151.84369112036532,18581.04100834635,37145.57646428626,76916.45851036675,294098.45848091954
Project 203,144.0,49642.36272252709,49901.42792737898,946.713580326321,12978.55013946763,36920.395920648356,70609.5953592463,235125.1949983782
Project 204,144.0,53055.569535132534,45676.55807962217,442.89908099565776,16033.336598391463,38931.25440599349,83118.89617544253,218696.9284746103
Project 205,144.0,41130.30626991062,42380.90947212705,179.46586301741704,11346.211163825712,27224.659936947195,61235.85817215753,251227.379127067
Project 206,144.0,47087.61507808904,44595.32840626376,288.4518209138095,14408.73103619884,38199.434161761616,67881.54184005248,319574.51299870183
Project 207,144.0,52304.34153469613,54385.52535052084,341.02294589763375,13275.968747522142,39553.3084558698,71608.91788695058,336444.1386676739
Project 208,144.0,42146.92678347824,43324.85460824629,14.97088560659427,9847.8861436825,27633.15346509002,59060.63931865864,208455.92962486114
Project 209,144.0,53561.53274835467,55666.9138993787,74.78068766852765,14362.294034208224,32394.749763644755,76678.35993468872,247329.9164712952
Project 210,144.0,45274.43554243856,42135.15865914656,779.437651040986,14521.02901779845,31864.51362416325,62724.21812393809,191032.19475801798
Project 211,144.0,48075.350798340216,48170.91576636189,89.06151549007627,11417.464825636045,30401.176713480756,74098.0832623895,195334.43215639074
Project 212,144.0,57669.38909517071,49507.684800041476,23.617963077037825,23948.089041652514,42093.770975717445,80591.35761300671,238178.11910149106
Project 213,144.0,45921.80272247033,45082.75155734342,77.74292224899983,14544.080321230998,28817.858020549498,65354.85936951793,273619.8318113466
Project 214,144.0,53702.44623695921,51017.80326771899,696.7338750207117,13341.127520031525,39020.718724793755,76984.38910168826,255974.44294766808
